natx =      177
    x       y        z       iph  
      0.00000      0.00000      0.00000   0      0.00000
      1.80500      1.80500      0.00000   1      2.55266
     -1.80500      1.80500      0.00000   1      2.55266
      1.80500     -1.80500      0.00000   1      2.55266
     -1.80500     -1.80500      0.00000   1      2.55266
      1.80500      0.00000      1.80500   1      2.55266
     -1.80500      0.00000      1.80500   1      2.55266
      0.00000      1.80500      1.80500   1      2.55266
      0.00000     -1.80500      1.80500   1      2.55266
      1.80500      0.00000     -1.80500   1      2.55266
     -1.80500      0.00000     -1.80500   1      2.55266
      0.00000      1.80500     -1.80500   1      2.55266
      0.00000     -1.80500     -1.80500   1      2.55266
      3.61000      0.00000      0.00000   1      3.61000
     -3.61000      0.00000      0.00000   1      3.61000
      0.00000      3.61000      0.00000   1      3.61000
      0.00000     -3.61000      0.00000   1      3.61000
      0.00000      0.00000      3.61000   1      3.61000
      0.00000      0.00000     -3.61000   1      3.61000
      3.61000      1.80500      1.80500   1      4.42133
     -3.61000      1.80500      1.80500   1      4.42133
      1.80500      3.61000      1.80500   1      4.42133
     -1.80500      3.61000      1.80500   1      4.42133
      3.61000     -1.80500      1.80500   1      4.42133
     -3.61000     -1.80500      1.80500   1      4.42133
      1.80500     -3.61000      1.80500   1      4.42133
     -1.80500     -3.61000      1.80500   1      4.42133
      1.80500      1.80500      3.61000   1      4.42133
     -1.80500      1.80500      3.61000   1      4.42133
      1.80500     -1.80500      3.61000   1      4.42133
     -1.80500     -1.80500      3.61000   1      4.42133
      3.61000      1.80500     -1.80500   1      4.42133
     -3.61000      1.80500     -1.80500   1      4.42133
      1.80500      3.61000     -1.80500   1      4.42133
     -1.80500      3.61000     -1.80500   1      4.42133
      3.61000     -1.80500     -1.80500   1      4.42133
     -3.61000     -1.80500     -1.80500   1      4.42133
      1.80500     -3.61000     -1.80500   1      4.42133
     -1.80500     -3.61000     -1.80500   1      4.42133
      1.80500      1.80500     -3.61000   1      4.42133
     -1.80500      1.80500     -3.61000   1      4.42133
      1.80500     -1.80500     -3.61000   1      4.42133
     -1.80500     -1.80500     -3.61000   1      4.42133
      3.61000      3.61000      0.00000   1      5.10531
     -3.61000      3.61000      0.00000   1      5.10531
      3.61000     -3.61000      0.00000   1      5.10531
     -3.61000     -3.61000      0.00000   1      5.10531
      3.61000      0.00000      3.61000   1      5.10531
     -3.61000      0.00000      3.61000   1      5.10531
      0.00000      3.61000      3.61000   1      5.10531
      0.00000     -3.61000      3.61000   1      5.10531
      3.61000      0.00000     -3.61000   1      5.10531
     -3.61000      0.00000     -3.61000   1      5.10531
      0.00000      3.61000     -3.61000   1      5.10531
      0.00000     -3.61000     -3.61000   1      5.10531
      5.41500      1.80500      0.00000   1      5.70791
     -5.41500      1.80500      0.00000   1      5.70791
      1.80500      5.41500      0.00000   1      5.70791
     -1.80500      5.41500      0.00000   1      5.70791
      5.41500     -1.80500      0.00000   1      5.70791
     -5.41500     -1.80500      0.00000   1      5.70791
      1.80500     -5.41500      0.00000   1      5.70791
     -1.80500     -5.41500      0.00000   1      5.70791
      5.41500      0.00000      1.80500   1      5.70791
     -5.41500      0.00000      1.80500   1      5.70791
      0.00000      5.41500      1.80500   1      5.70791
      0.00000     -5.41500      1.80500   1      5.70791
      1.80500      0.00000      5.41500   1      5.70791
     -1.80500      0.00000      5.41500   1      5.70791
      0.00000      1.80500      5.41500   1      5.70791
      0.00000     -1.80500      5.41500   1      5.70791
      5.41500      0.00000     -1.80500   1      5.70791
     -5.41500      0.00000     -1.80500   1      5.70791
      0.00000      5.41500     -1.80500   1      5.70791
      0.00000     -5.41500     -1.80500   1      5.70791
      1.80500      0.00000     -5.41500   1      5.70791
     -1.80500      0.00000     -5.41500   1      5.70791
      0.00000      1.80500     -5.41500   1      5.70791
      0.00000     -1.80500     -5.41500   1      5.70791
      3.61000      3.61000      3.61000   1      6.25270
     -3.61000      3.61000      3.61000   1      6.25270
      3.61000     -3.61000      3.61000   1      6.25270
     -3.61000     -3.61000      3.61000   1      6.25270
      3.61000      3.61000     -3.61000   1      6.25270
     -3.61000      3.61000     -3.61000   1      6.25270
      3.61000     -3.61000     -3.61000   1      6.25270
     -3.61000     -3.61000     -3.61000   1      6.25270
      5.41500      3.61000      1.80500   1      6.75369
     -5.41500      3.61000      1.80500   1      6.75369
      3.61000      5.41500      1.80500   1      6.75369
     -3.61000      5.41500      1.80500   1      6.75369
      5.41500     -3.61000      1.80500   1      6.75369
     -5.41500     -3.61000      1.80500   1      6.75369
      3.61000     -5.41500      1.80500   1      6.75369
     -3.61000     -5.41500      1.80500   1      6.75369
      5.41500      1.80500      3.61000   1      6.75369
     -5.41500      1.80500      3.61000   1      6.75369
      1.80500      5.41500      3.61000   1      6.75369
     -1.80500      5.41500      3.61000   1      6.75369
      5.41500     -1.80500      3.61000   1      6.75369
     -5.41500     -1.80500      3.61000   1      6.75369
      1.80500     -5.41500      3.61000   1      6.75369
     -1.80500     -5.41500      3.61000   1      6.75369
      3.61000      1.80500      5.41500   1      6.75369
     -3.61000      1.80500      5.41500   1      6.75369
      1.80500      3.61000      5.41500   1      6.75369
     -1.80500      3.61000      5.41500   1      6.75369
      3.61000     -1.80500      5.41500   1      6.75369
     -3.61000     -1.80500      5.41500   1      6.75369
      1.80500     -3.61000      5.41500   1      6.75369
     -1.80500     -3.61000      5.41500   1      6.75369
      5.41500      3.61000     -1.80500   1      6.75369
     -5.41500      3.61000     -1.80500   1      6.75369
      3.61000      5.41500     -1.80500   1      6.75369
     -3.61000      5.41500     -1.80500   1      6.75369
      5.41500     -3.61000     -1.80500   1      6.75369
     -5.41500     -3.61000     -1.80500   1      6.75369
      3.61000     -5.41500     -1.80500   1      6.75369
     -3.61000     -5.41500     -1.80500   1      6.75369
      5.41500      1.80500     -3.61000   1      6.75369
     -5.41500      1.80500     -3.61000   1      6.75369
      1.80500      5.41500     -3.61000   1      6.75369
     -1.80500      5.41500     -3.61000   1      6.75369
      5.41500     -1.80500     -3.61000   1      6.75369
     -5.41500     -1.80500     -3.61000   1      6.75369
      1.80500     -5.41500     -3.61000   1      6.75369
     -1.80500     -5.41500     -3.61000   1      6.75369
      3.61000      1.80500     -5.41500   1      6.75369
     -3.61000      1.80500     -5.41500   1      6.75369
      1.80500      3.61000     -5.41500   1      6.75369
     -1.80500      3.61000     -5.41500   1      6.75369
      3.61000     -1.80500     -5.41500   1      6.75369
     -3.61000     -1.80500     -5.41500   1      6.75369
      1.80500     -3.61000     -5.41500   1      6.75369
     -1.80500     -3.61000     -5.41500   1      6.75369
      7.22000      0.00000      0.00000   1      7.22000
     -7.22000      0.00000      0.00000   1      7.22000
      0.00000      7.22000      0.00000   1      7.22000
      0.00000     -7.22000      0.00000   1      7.22000
      0.00000      0.00000      7.22000   1      7.22000
      0.00000      0.00000     -7.22000   1      7.22000
      5.41500      5.41500      0.00000   1      7.65797
     -5.41500      5.41500      0.00000   1      7.65797
      5.41500     -5.41500      0.00000   1      7.65797
     -5.41500     -5.41500      0.00000   1      7.65797
      7.22000      1.80500      1.80500   1      7.65797
     -7.22000      1.80500      1.80500   1      7.65797
      1.80500      7.22000      1.80500   1      7.65797
     -1.80500      7.22000      1.80500   1      7.65797
      7.22000     -1.80500      1.80500   1      7.65797
     -7.22000     -1.80500      1.80500   1      7.65797
      1.80500     -7.22000      1.80500   1      7.65797
     -1.80500     -7.22000      1.80500   1      7.65797
      5.41500      0.00000      5.41500   1      7.65797
     -5.41500      0.00000      5.41500   1      7.65797
      0.00000      5.41500      5.41500   1      7.65797
      0.00000     -5.41500      5.41500   1      7.65797
      1.80500      1.80500      7.22000   1      7.65797
     -1.80500      1.80500      7.22000   1      7.65797
      1.80500     -1.80500      7.22000   1      7.65797
     -1.80500     -1.80500      7.22000   1      7.65797
      7.22000      1.80500     -1.80500   1      7.65797
     -7.22000      1.80500     -1.80500   1      7.65797
      1.80500      7.22000     -1.80500   1      7.65797
     -1.80500      7.22000     -1.80500   1      7.65797
      7.22000     -1.80500     -1.80500   1      7.65797
     -7.22000     -1.80500     -1.80500   1      7.65797
      1.80500     -7.22000     -1.80500   1      7.65797
     -1.80500     -7.22000     -1.80500   1      7.65797
      5.41500      0.00000     -5.41500   1      7.65797
     -5.41500      0.00000     -5.41500   1      7.65797
      0.00000      5.41500     -5.41500   1      7.65797
      0.00000     -5.41500     -5.41500   1      7.65797
      1.80500      1.80500     -7.22000   1      7.65797
     -1.80500      1.80500     -7.22000   1      7.65797
      1.80500     -1.80500     -7.22000   1      7.65797
     -1.80500     -1.80500     -7.22000   1      7.65797
